Data;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31
01/12/2019;0;0;0;0;0;26,5;0;0;2,8;0;0;0;0;0;0;0;0;56,6;0;0;0;0;0;4,1;0;0;0;0;0;0;0
01/11/2019;0;0;0;1,7;0;14,9;0;0;0;0;28,9;6,5;0;28,6;0;0;0;0;0;0;0;0;18,4;2,4;0;0;18,4;0;0;0;
01/10/2019;0;0;0;0;0;0;0;11,4;0;0;0;0;0;0;1,9;0;0;0;0;0;0;10,4;0;0;0;0;0;28,4;12,2;0;0
01/09/2019;0;53,2;1,8;0;0;0;2,9;0;0;0;0;0;0;0;0;0;0;0;2,6;0;34;0;0;0;0;0;0;0;0;0;
01/08/2019;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10,9;0;0;4;0;0;0;0;0;0;0;0
01/07/2019;0;0;0;17,6;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
01/06/2019;39,2;28,8;17,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,6;0;0;0;
01/05/2019;0;0;0;0;0;0;20,6;0;0;0;0;1,4;0;0;0;0;6,4;4,4;6,9;0;0;0;0;30,9;0;0;0;0;57;0;37
01/04/2019;0;0;0;0;0;0;9,5;2,8;9;0;0;0;0;0;0;0;6,2;0;0;0;0;5,4;2,2;0;0;0;0;0;44,3;0;
01/03/2019;0;0;0;4,2;0;7,2;7,7;19,8;13,8;0;0;0;0;3,5;0;0;1,9;0;0;0;2;0;17,5;0;0;0;0;0;0;0;0
01/02/2019;0;0;2,4;0;0;0;0;0;0;0;0;19,4;0,6;0;0;35;3,4;0;0;0;8,7;4,3;0;0;0;15,6;8;9,6;;;
